,Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,BodyStyle,Seats
0,Tesla ,Model 3 Long Range Dual Motor,4.6,233,450,161,940,Sedan,5
1,Volkswagen ,ID.3 Pure,10.0,160,270,167,250,Hatchback,5
2,Polestar ,2,4.7,210,400,181,620,Liftback,5
3,BMW ,iX3 ,6.8,180,360,206,560,SUV,5
4,Honda ,e ,9.5,145,170,168,190,Hatchback,4
5,Lucid ,Air ,2.8,250,610,180,620,Sedan,5
6,Volkswagen ,e-Golf ,9.6,150,190,168,220,Hatchback,5
7,Peugeot ,e-208 ,8.1,150,275,164,420,Hatchback,5
8,Tesla ,Model 3 Standard Range Plus,5.6,225,310,153,650,Sedan,5
9,Audi ,Q4 e-tron ,6.3,180,400,193,540,SUV,5
10,Mercedes ,EQC 400 4MATIC,5.1,180,370,216,440,SUV,5
11,Nissan ,Leaf ,7.9,144,220,164,230,Hatchback,5
12,Hyundai ,Kona Electric 64 kWh,7.9,167,400,160,380,SUV,5
13,BMW ,i4 ,4.0,200,450,178,650,Sedan,5
14,Hyundai ,IONIQ Electric,9.7,165,250,153,210,Liftback,5
15,Volkswagen ,ID.3 Pro S,7.9,160,440,175,590,Hatchback,4
16,Porsche ,Taycan Turbo S,2.8,260,375,223,780,Sedan,4
17,Volkswagen ,e-Up! ,11.9,130,195,166,170,Hatchback,4
18,MG ,ZS EV,8.2,140,220,193,260,SUV,5
19,Mini ,Cooper SE ,7.3,150,185,156,260,Hatchback,4
20,Opel ,Corsa-e ,8.1,150,275,164,420,Hatchback,5
21,Tesla ,Model Y Long Range Dual Motor,5.1,217,425,171,930,SUV,7
22,Skoda ,Enyaq iV 50,10.0,160,290,179,230,SUV,5
23,Audi ,e-tron GT ,3.5,240,425,197,850,Sedan,4
24,Tesla ,Model 3 Long Range Performance,3.4,261,435,167,910,Sedan,5
25,Volkswagen ,ID.4 ,7.5,160,420,183,560,SUV,5
26,Volkswagen ,ID.3 Pro,9.0,160,350,166,490,Hatchback,5
27,Volvo ,XC40 P8 AWD Recharge,4.9,180,375,200,470,SUV,5
28,BMW ,i3 120 Ah,7.3,150,235,161,270,Hatchback,4
29,Peugeot ,e-2008 SUV ,8.5,150,250,180,380,SUV,5
30,Audi ,e-tron 50 quattro,6.8,190,280,231,450,SUV,5
31,Kia ,e-Niro 64 kWh,7.8,167,370,173,350,SUV,5
32,Renault ,Zoe ZE50 R110,11.4,135,315,165,230,Hatchback,5
33,Tesla ,Cybertruck Tri Motor,3.0,210,750,267,710,Pickup,6
34,Mazda ,MX-30 ,9.0,150,180,178,240,SUV,5
35,Nissan ,Leaf e+,7.3,157,325,172,390,Hatchback,5
36,Lexus ,UX 300e,7.5,160,270,193,190,SUV,5
37,CUPRA ,el-Born ,6.5,160,425,181,570,Hatchback,4
38,Renault ,Zoe ZE50 R135,9.5,140,310,168,230,Hatchback,5
39,Mercedes ,EQA ,5.0,200,350,171,440,SUV,5
40,Tesla ,Model S Long Range,3.8,250,515,184,560,Liftback,5
41,Hyundai ,Kona Electric 39 kWh,9.9,155,255,154,210,SUV,5
42,Audi ,e-tron Sportback 55 quattro,5.7,200,380,228,610,SUV,5
43,Skoda ,CITIGOe iV ,12.3,130,195,166,170,Hatchback,4
44,SEAT ,Mii Electric ,12.3,130,195,166,170,Hatchback,4
45,Kia ,e-Soul 64 kWh,7.9,167,365,175,340,SUV,5
46,Opel ,Ampera-e ,7.3,150,335,173,210,MPV,5
47,Porsche ,Taycan 4S,4.0,250,365,195,730,Sedan,4
48,Lightyear ,One ,10.0,150,575,104,540,Liftback,5
49,Aiways ,U5 ,9.0,150,335,188,350,SUV,5
50,Audi ,e-tron 55 quattro,5.7,200,365,237,590,SUV,5
51,Tesla ,Roadster ,2.1,410,970,206,920,Cabrio,4
52,Opel ,Mokka-e ,8.5,150,255,176,390,SUV,5
53,Skoda ,Enyaq iV 80,8.8,160,420,183,560,SUV,5
54,Tesla ,Model X Long Range,4.6,250,450,211,490,SUV,7
55,Honda ,e Advance,8.3,145,170,168,190,Hatchback,4
56,DS ,3 Crossback E-Tense,8.7,150,250,180,380,SUV,5
58,Citroen ,e-C4 ,9.7,150,250,180,380,SUV,5
59,Tesla ,Model S Performance,2.5,261,505,188,550,Liftback,5
60,Renault ,Zoe ZE40 R110,11.4,135,255,161,230,Hatchback,5
61,Tesla ,Model Y Long Range Performance,3.7,241,410,177,900,SUV,7
62,Nissan ,Ariya 87kWh,7.6,160,440,198,520,Hatchback,5
63,Jaguar ,I-Pace ,4.8,200,365,232,340,SUV,5
64,Ford ,Mustang Mach-E ER RWD,7.0,180,450,200,430,SUV,5
65,Porsche ,Taycan 4S Plus,4.0,250,425,197,890,Sedan,4
66,Nissan ,e-NV200 Evalia ,14.0,123,190,200,190,SPV,7
67,Tesla ,Cybertruck Dual Motor,5.0,190,460,261,710,Pickup,6
69,Ford ,Mustang Mach-E ER AWD,6.0,180,430,209,410,SUV,5
70,BMW ,i3s 120 Ah,6.9,160,230,165,260,Hatchback,4
71,Skoda ,Enyaq iV 80X,7.0,160,400,193,540,SUV,5
72,Porsche ,Taycan Cross Turismo ,3.5,250,385,217,770,Station,4
73,Byton ,M-Byte 95 kWh 4WD,5.5,190,390,244,460,SUV,5
74,Sono ,Sion ,9.0,140,225,156,270,Hatchback,5
75,Kia ,e-Niro 39 kWh,9.8,155,235,167,230,SUV,5
76,Audi ,Q4 Sportback e-tron ,6.3,180,410,188,550,SUV,5
78,Ford ,Mustang Mach-E SR AWD,6.0,180,340,206,360,SUV,5
79,Porsche ,Taycan Turbo,3.2,260,390,215,810,Sedan,4
80,Volkswagen ,ID.3 1st,7.3,160,340,171,470,Hatchback,5
81,Tesla ,Model X Performance,2.8,250,440,216,480,SUV,7
83,Ford ,Mustang Mach-E SR RWD,6.6,180,360,194,380,SUV,5
84,Mercedes ,EQV 300 Long,10.0,140,330,273,290,SPV,7
85,Fiat ,500e Hatchback,9.0,150,250,168,330,Hatchback,4
86,Tesla ,Cybertruck Single Motor,7.0,180,390,256,740,Pickup,6
87,Audi ,e-tron Sportback 50 quattro,6.8,190,295,219,470,SUV,5
88,Skoda ,Enyaq iV vRS,6.2,180,400,193,540,SUV,5
89,Skoda ,Enyaq iV 60,9.0,160,320,181,440,SUV,5
90,Audi ,e-tron S 55 quattro,4.5,210,320,270,510,SUV,5
92,Kia ,e-Soul 64 kWh,7.9,167,365,175,320,SUV,5
93,Nissan ,Ariya e-4ORCE 87kWh,5.7,200,420,207,500,Hatchback,5
94,Fiat ,500e Convertible,9.0,150,250,168,330,Cabrio,4
95,Volkswagen ,ID.3 Pro Performance,7.3,160,340,171,470,Hatchback,5
96,Kia ,e-Soul 39 kWh,9.9,157,230,170,220,SUV,5
97,Byton ,M-Byte 72 kWh 2WD,7.5,190,325,222,420,SUV,5
98,Nissan ,Ariya 63kWh,7.5,160,330,191,440,Hatchback,5
99,Audi ,e-tron S Sportback 55 quattro,4.5,210,335,258,540,SUV,5
100,Nissan ,Ariya e-4ORCE 63kWh,5.9,200,325,194,440,Hatchback,5
101,Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200,375,232,450,Hatchback,5
102,Byton ,M-Byte 95 kWh 2WD,7.5,190,400,238,480,SUV,5
